id,organisation_code,organisation_name_short,organisation_name_long,organisation_name_code,indicator_total_weighted_points,indicator_id,indicator_name,indicator_category_name,indicator_subcategory_name,indicator_category_subcategory,indicator_order,indicator_weight,iati_manual,publication_format,publication_format_points,total_points,iati_data_quality_points,iati_data_quality_frequency,iati_data_quality_frequency_value,iati_data_quality_frequency_multiplier,iati_data_quality_total_points,survey_publication_status,survey_publication_status_value,survey_ordinal_value,survey_publication_format,survey_publication_format_value,survey_total_points
46002-non-sovereign-networked-data-transactions-with-valid-receiver,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,1.666644443,networked-data-transactions-with-valid-receiver,Networked Data - Transactions with valid receiver,activity,Joining-up development data,activity-Joining-up development data,30.3,0.016667,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-objectives,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,4.999833333,objectives,Objectives,activity,Performance,activity-Performance,32,0.05,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-organisation-strategy,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,1.8749375,organisation-strategy,Organisation strategy,,Organisational planning and commitments,#NAME?,3,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-planned-dates,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,0.766633333,planned-dates,Planned dates,activity,Project attributes,activity-Project attributes,18,0.01,iati,iati,33.33,76.66333333,43.33333333,monthly,1,1,43.33333333,,,,,,0
46002-non-sovereign-impact-appraisals,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,4.999833333,impact-appraisals,Pre-project impact appraisals,activity,Performance,activity-Performance,33,0.05,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-procurement-policy,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,1.8749375,procurement-policy,Procurement policy,,Organisational planning and commitments,#NAME?,6,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-project-budget,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,3.333222389,project-budget,Project budget,activity,Finance and budgets,activity-Finance and budgets,11,0.033333335,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-project-procurement-contracts,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,0.933266667,project-procurement-contracts,Project procurement - Contracts,activity,Joining-up development data,activity-Joining-up development data,31.1,0.02,iati,iati,33.33,46.66333333,13.33333333,monthly,1,1,13.33333333,,,,,,0
46002-non-sovereign-project-procurement-tenders,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,0.459225926,project-procurement-tenders,Project procurement - Tenders,activity,Joining-up development data,activity-Joining-up development data,31.2,0.01,iati,iati,33.33,45.92259259,12.59259259,monthly,1,1,12.59259259,,,,,,0
46002-non-sovereign-sector,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,2.499916667,sector,Sectors,activity,Project attributes,activity-Project attributes,22,0.025,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-country-strategy-or-mou,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,1.848341755,country-strategy-or-mou,Strategy (country/sector) or Memorandum of Understanding,,Organisational planning and commitments,#NAME?,7,0.01875,iati,iati,33.33,98.57822695,65.24822695,monthly,1,1,65.24822695,,,,,,0
46002-non-sovereign-tied-aid-status,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,2.9999,tied-aid-status,Tied aid status,activity,Joining-up development data,activity-Joining-up development data,29,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-title,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,0.999966667,title,Title,activity,Project attributes,activity-Project attributes,16,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-total-organisation-budget,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,4.166527911,total-organisation-budget,Total organisation budget,,Finance and budgets,#NAME?,9,0.041666668,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-non-sovereign-unique-id,46002-non-sovereign,AfDB - Non-Sov.,African Development Bank – Non-Sovereign Portfolio,AfDB - Non-Sov.,2.499916667,unique-id,Unique ID,activity,Project attributes,activity-Project attributes,25,0.025,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-accessibility,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,1.875,accessibility,Accessibility,commitment,Organisational planning and commitments,commitment-Organisational planning and commitments,2,0.01875,manual,not-applicable,100,100,0,monthly,1,1,0,,0,100,,0,100
46002-sovereign-actual-dates,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,0.999966667,actual-dates,Actual dates,activity,Project attributes,activity-Project attributes,19,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-aid-type,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,2.9999,aid-type,Aid type,activity,Joining-up development data,activity-Joining-up development data,27,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-allocation-policy,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,1.8749375,allocation-policy,Allocation policy,,Organisational planning and commitments,#NAME?,5,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-annual-report,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,1.8749375,annual-report,Annual report,,Organisational planning and commitments,#NAME?,4,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-audit,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,1.8749375,audit,Audit,,Organisational planning and commitments,#NAME?,8,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-budget-alignment,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,3.333222389,budget-alignment,Budget Alignment,activity,Finance and budgets,activity-Finance and budgets,15,0.033333335,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-commitments,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,3.333222389,commitments,Commitments,activity,Finance and budgets,activity-Finance and budgets,13,0.033333335,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-conditions,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,3.499883333,conditions,Conditions,activity,Project attributes,activity-Project attributes,24,0.035,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-contact-details,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,0.999966667,contact-details,Contact details,activity,Project attributes,activity-Project attributes,21,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-current-status,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,0.999966667,current-status,Current status,activity,Project attributes,activity-Project attributes,20,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-description,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,2.9999,description,Description,activity,Project attributes,activity-Project attributes,17,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-disaggregated-budgets,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,4.097940803,disaggregated-budgets,Disaggregated budget,,Finance and budgets,#NAME?,10,0.041666668,iati,iati,33.33,98.35057613,65.02057613,monthly,1,1,65.02057613,,,,,,0
46002-sovereign-disbursements-and-expenditures,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,3.333222389,disbursements-and-expenditures,Disbursements and expenditures,activity,Finance and budgets,activity-Finance and budgets,14,0.033333335,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-finance-type,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,2.9999,finance-type,Finance type,activity,Joining-up development data,activity-Joining-up development data,28,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-flow-type,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,2.9999,flow-type,Flow type,activity,Joining-up development data,activity-Joining-up development data,26,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-location,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,3.499883333,location,Location,activity,Project attributes,activity-Project attributes,23.1,0.035,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-location-with-activity-scope-exclusion-,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,0,location-with-activity-scope-exclusion-,Location (with activity-scope exclusion),activity,Project attributes,activity-Project attributes,23.2,0.035,iati,iati,,0,0,monthly,1,1,0,,,,,,0
46002-sovereign-networked-data-implementors,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,1.999933333,networked-data-implementors,Networked Data - Implementors,activity,Joining-up development data,activity-Joining-up development data,30.1,0.02,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-networked-data-participating-orgs,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,1.587936675,networked-data-participating-orgs,Networked Data - Participating Orgs,activity,Joining-up development data,activity-Joining-up development data,30.2,0.02,iati,iati,33.33,79.39683375,46.06683375,monthly,1,1,46.06683375,,,,,,0
46002-sovereign-networked-data-transactions-with-valid-receiver,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,0.999966667,networked-data-transactions-with-valid-receiver,Networked Data - Transactions with valid receiver,activity,Joining-up development data,activity-Joining-up development data,30.3,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-objectives,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,4.999833333,objectives,Objectives,activity,Performance,activity-Performance,32,0.05,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-organisation-strategy,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,1.8749375,organisation-strategy,Organisation strategy,,Organisational planning and commitments,#NAME?,3,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-planned-dates,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,0.999966667,planned-dates,Planned dates,activity,Project attributes,activity-Project attributes,18,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-impact-appraisals,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,4.999833333,impact-appraisals,Pre-project impact appraisals,activity,Performance,activity-Performance,33,0.05,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-procurement-policy,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,1.8749375,procurement-policy,Procurement policy,,Organisational planning and commitments,#NAME?,6,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-project-budget,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,3.333222389,project-budget,Project budget,activity,Finance and budgets,activity-Finance and budgets,11,0.033333335,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-project-budget-document,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,3.333222389,project-budget-document,Project budget document,activity,Finance and budgets,activity-Finance and budgets,12,0.033333335,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-project-procurement-contracts,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,1.974592203,project-procurement-contracts,Project procurement - Contracts,activity,Joining-up development data,activity-Joining-up development data,31.1,0.02,iati,iati,33.33,98.72961014,65.39961014,monthly,1,1,65.39961014,,,,,,0
46002-sovereign-project-procurement-tenders,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,0.99704269,project-procurement-tenders,Project procurement - Tenders,activity,Joining-up development data,activity-Joining-up development data,31.2,0.01,iati,iati,33.33,99.70426901,66.37426901,monthly,1,1,66.37426901,,,,,,0
46002-sovereign-foia,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,1.249875,foia,Quality of FOI legislation,commitment,Organisational planning and commitments,commitment-Organisational planning and commitments,1,0.01875,manual,not-applicable,66.66,66.66,0,monthly,1,1,0,,0,66.66,,0,66.66
46002-sovereign-results,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,4.999833333,results,Results,activity,Performance,activity-Performance,35,0.05,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-reviews-and-evaluations,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,4.999833333,reviews-and-evaluations,Reviews and evaluations,activity,Performance,activity-Performance,34,0.05,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-sector,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,2.499916667,sector,Sectors,activity,Project attributes,activity-Project attributes,22,0.025,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-country-strategy-or-mou,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,1.848341755,country-strategy-or-mou,Strategy (country/sector) or Memorandum of Understanding,,Organisational planning and commitments,#NAME?,7,0.01875,iati,iati,33.33,98.57822695,65.24822695,monthly,1,1,65.24822695,,,,,,0
46002-sovereign-tied-aid-status,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,2.9999,tied-aid-status,Tied aid status,activity,Joining-up development data,activity-Joining-up development data,29,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-title,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,0.999966667,title,Title,activity,Project attributes,activity-Project attributes,16,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-total-organisation-budget,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,4.166527911,total-organisation-budget,Total organisation budget,,Finance and budgets,#NAME?,9,0.041666668,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46002-sovereign-unique-id,46002-sovereign,AfDB - Sovereign,African Development Bank – Sovereign Portfolio,AfDB - Sovereign,2.499916667,unique-id,Unique ID,activity,Project attributes,activity-Project attributes,25,0.025,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46004-non-sovereign-accessibility,46004-non-sovereign,AsDB - Non-Sov.,Asian Development Bank – Non-Sovereign Portfolio,AsDB - Non-Sov.,1.249875,accessibility,Accessibility,commitment,Organisational planning and commitments,commitment-Organisational planning and commitments,2,0.01875,manual,not-applicable,66.66,66.66,0,monthly,1,1,0,,0,66.66,,0,66.66
46004-non-sovereign-actual-dates,46004-non-sovereign,AsDB - Non-Sov.,Asian Development Bank – Non-Sovereign Portfolio,AsDB - Non-Sov.,0.999966667,actual-dates,Actual dates,activity,Project attributes,activity-Project attributes,19,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46004-non-sovereign-aid-type,46004-non-sovereign,AsDB - Non-Sov.,Asian Development Bank – Non-Sovereign Portfolio,AsDB - Non-Sov.,2.9999,aid-type,Aid type,activity,Joining-up development data,activity-Joining-up development data,27,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46004-non-sovereign-allocation-policy,46004-non-sovereign,AsDB - Non-Sov.,Asian Development Bank – Non-Sovereign Portfolio,AsDB - Non-Sov.,1.8749375,allocation-policy,Allocation policy,,Organisational planning and commitments,#NAME?,5,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46004-non-sovereign-annual-report,46004-non-sovereign,AsDB - Non-Sov.,Asian Development Bank – Non-Sovereign Portfolio,AsDB - Non-Sov.,1.8749375,annual-report,Annual report,,Organisational planning and commitments,#NAME?,4,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46004-non-sovereign-audit,46004-non-sovereign,AsDB - Non-Sov.,Asian Development Bank – Non-Sovereign Portfolio,AsDB - Non-Sov.,1.8749375,audit,Audit,,Organisational planning and commitments,#NAME?,8,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46004-non-sovereign-budget-alignment,46004-non-sovereign,AsDB - Non-Sov.,Asian Development Bank – Non-Sovereign Portfolio,AsDB - Non-Sov.,3.333222389,budget-alignment,Budget Alignment,activity,Finance and budgets,activity-Finance and budgets,15,0.033333335,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46004-non-sovereign-commitments,46004-non-sovereign,AsDB - Non-Sov.,Asian Development Bank – Non-Sovereign Portfolio,AsDB - Non-Sov.,3.333222389,commitments,Commitments,activity,Finance and budgets,activity-Finance and budgets,13,0.033333335,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
