id,organisation_name,organisation_code,indicator_total_weighted_points,indicator_id,indicator_name,indicator_subcategory_name,indicator_order,indicator_weight,iati_manual,publication_format,publication_format_points,total_points,iati_data_quality_passed,iati_data_quality_points,iati_data_quality_frequency,iati_data_quality_frequency_value,iati_data_quality_frequency_multiplier,iati_data_quality_total_points,survey_publication_status,survey_publication_status_value,survey_ordinal_value,survey_publication_format,survey_publication_format_value,survey_total_points,survey_source
46002-non-sovereign-title,AfDB - Non-Sov.,46002-non-sovereign,0.999999997,title,Title,Project attributes,16,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-description,AfDB - Non-Sov.,46002-non-sovereign,2.99999999,description,Description,Project attributes,17,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-planned-dates,AfDB - Non-Sov.,46002-non-sovereign,0.666666663,planned-dates,Planned dates,Project attributes,18,0.01,iati,iati,33.333333,66.66666633,50,33.33333333,monthly,1,1,33.33333333,,,,,,0,
46002-non-sovereign-actual-dates,AfDB - Non-Sov.,46002-non-sovereign,0.974110029,actual-dates,Actual dates,Project attributes,19,0.01,iati,iati,33.333333,97.4110029,96.11650485,64.0776699,monthly,1,1,64.0776699,,,,,,0,
46002-non-sovereign-current-status,AfDB - Non-Sov.,46002-non-sovereign,0.999999997,current-status,Current status,Project attributes,20,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-contact-details,AfDB - Non-Sov.,46002-non-sovereign,0.999999997,contact-details,Contact details,Project attributes,21,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-sector,AfDB - Non-Sov.,46002-non-sovereign,2.499999992,sector,Sectors,Project attributes,22,0.025,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-sub-national-location,AfDB - Non-Sov.,46002-non-sovereign,3.499999988,sub-national-location,Sub-national location,Project attributes,23,0.035,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-unique-id,AfDB - Non-Sov.,46002-non-sovereign,2.499999992,unique-id,Unique ID,Project attributes,25,0.025,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-flow-type,AfDB - Non-Sov.,46002-non-sovereign,2.99999999,flow-type,Flow type,Joining-up development data,26,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-aid-type,AfDB - Non-Sov.,46002-non-sovereign,2.99999999,aid-type,Aid type,Joining-up development data,27,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-finance-type,AfDB - Non-Sov.,46002-non-sovereign,2.99999999,finance-type,Finance type,Joining-up development data,28,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-tied-aid-status,AfDB - Non-Sov.,46002-non-sovereign,2.99999999,tied-aid-status,Tied aid status,Joining-up development data,29,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-networked-data-implementors,AfDB - Non-Sov.,46002-non-sovereign,4.999999983,networked-data-implementors,Networked Data - Implementors,Joining-up development data,30,0.05,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-project-procurement-tenders,AfDB - Non-Sov.,46002-non-sovereign,0.346278314,project-procurement-tenders,Project procurement - Tenders,Joining-up development data,33,0.01,iati,iati,33.333333,34.62783138,1.941747573,1.294498382,monthly,1,1,1.294498382,,,,,,0,
46002-non-sovereign-objectives,AfDB - Non-Sov.,46002-non-sovereign,4.999999983,objectives,Objectives,Performance,34,0.05,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-impact-appraisals,AfDB - Non-Sov.,46002-non-sovereign,4.967637524,impact-appraisals,Pre-project impact appraisals,Performance,35,0.05,iati,iati,33.333333,99.35275048,99.02912621,66.01941748,monthly,1,1,66.01941748,,,,,,0,
46002-non-sovereign-reviews-and-evaluations,AfDB - Non-Sov.,46002-non-sovereign,4.999999983,reviews-and-evaluations,Reviews and evaluations,Performance,36,0.05,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-non-sovereign-project-budget-document,AfDB - Non-Sov.,46002-non-sovereign,0,project-budget-document,Project budget document,Finance and budgets,12,0.033333335,manual,document,0,0,0,0,monthly,1,1,0,not published,0,,document,50,0,
46002-non-sovereign-disbursements-and-expenditures,AfDB - Non-Sov.,46002-non-sovereign,0,disbursements-and-expenditures,Disbursements and expenditures,Finance and budgets,14,0.033333335,manual,website,0,0,0,0,monthly,1,1,0,not published,0,,website,33.33,0,
46002-non-sovereign-conditions,AfDB - Non-Sov.,46002-non-sovereign,0,conditions,Conditions,Project attributes,24,0.035,manual,document,0,0,0,0,monthly,1,1,0,not published,0,,document,50,0,
46002-non-sovereign-project-procurement-contracts,AfDB - Non-Sov.,46002-non-sovereign,0,project-procurement-contracts,Project procurement - Contracts,Joining-up development data,32,0.02,manual,document,0,0,0,0,monthly,1,1,0,sometimes,0,,document,50,0,
46002-non-sovereign-results,AfDB - Non-Sov.,46002-non-sovereign,0,results,Results,Performance,37,0.05,manual,,0,0,0,0,monthly,1,1,0,not published,0,,,0,0,
46002-non-sovereign-project-budget,AfDB - Non-Sov.,46002-non-sovereign,1.66666675,project-budget,Project budget,Finance and budgets,11,0.033333335,manual,machine-readable,50,50,0,0,monthly,1,1,0,always,1,,machine-readable,50,50,
46002-non-sovereign-networked-data-participating-orgs,AfDB - Non-Sov.,46002-non-sovereign,0,networked-data-participating-orgs,Networked Data - Participating Orgs,Joining-up development data,31,,manual,website,0,0,0,0,monthly,1,1,0,not published,0,,website,33.33,0,
46002-non-sovereign-foia,AfDB - Non-Sov.,46002-non-sovereign,1.249875,foia,Quality of FOI legislation,Organisational planning and commitments,1,0.01875,manual,not-applicable,66.66,66.66,0,0,monthly,1,1,0,,0,66.66,,0,66.66,https://www.rti-rating.org/
46002-non-sovereign-accessibility,AfDB - Non-Sov.,46002-non-sovereign,1.875,accessibility,Accessibility,Organisational planning and commitments,2,0.01875,manual,not-applicable,100,100,0,0,monthly,1,1,0,,0,100,,0,100,
46002-sovereign-aid-type,AfDB - sovereign,46002-sovereign,2.99999999,aid-type,Aid type,Joining-up development data,27,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-organisation-strategy,AfDB - sovereign,46002-sovereign,1.874999994,organisation-strategy,Organisation strategy,Organisational planning and commitments,3,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-reviews-and-evaluations,AfDB - sovereign,46002-sovereign,4.994632297,reviews-and-evaluations,Reviews and evaluations,Performance,36,0.05,iati,iati,33.333333,99.89264594,99.8389694,66.55931294,monthly,1,1,66.55931294,,,,,,0,
46002-sovereign-project-budget-document,AfDB - sovereign,46002-sovereign,3.333333489,project-budget-document,Project budget document,Finance and budgets,12,0.033333335,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-commitments,AfDB - sovereign,46002-sovereign,3.333333489,commitments,Commitments,Finance and budgets,13,0.033333335,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-conditions,AfDB - sovereign,46002-sovereign,3.499999988,conditions,Conditions,Project attributes,24,0.035,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-impact-appraisals,AfDB - sovereign,46002-sovereign,4.999999983,impact-appraisals,Pre-project impact appraisals,Performance,35,0.05,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-project-procurement-contracts,AfDB - sovereign,46002-sovereign,1.842565591,project-procurement-contracts,Project procurement - Contracts,Joining-up development data,32,0.02,iati,iati,33.333333,92.12827955,88.19241983,58.79494655,monthly,1,1,58.79494655,,,,,,0,
46002-sovereign-current-status,AfDB - sovereign,46002-sovereign,0.999999997,current-status,Current status,Project attributes,20,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-results,AfDB - sovereign,46002-sovereign,4.999999983,results,Results,Performance,37,0.05,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-project-budget,AfDB - sovereign,46002-sovereign,3.333333489,project-budget,Project budget,Finance and budgets,11,0.033333335,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-tied-aid-status,AfDB - sovereign,46002-sovereign,2.99999999,tied-aid-status,Tied aid status,Joining-up development data,29,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-objectives,AfDB - sovereign,46002-sovereign,4.999999983,objectives,Objectives,Performance,34,0.05,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-finance-type,AfDB - sovereign,46002-sovereign,2.99999999,finance-type,Finance type,Joining-up development data,28,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-budget-alignment,AfDB - sovereign,46002-sovereign,3.333333489,budget-alignment,Budget Alignment,Finance and budgets,15,0.033333335,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,https://www.tenderuae.com/
46002-sovereign-total-organisation-budget,AfDB - sovereign,46002-sovereign,4.166666786,total-organisation-budget,Total organisation budget,Finance and budgets,9,0.041666668,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-unique-id,AfDB - sovereign,46002-sovereign,2.499999992,unique-id,Unique ID,Project attributes,25,0.025,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-flow-type,AfDB - sovereign,46002-sovereign,2.99999999,flow-type,Flow type,Joining-up development data,26,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-sector,AfDB - sovereign,46002-sovereign,2.499999992,sector,Sectors,Project attributes,22,0.025,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-description,AfDB - sovereign,46002-sovereign,2.99999999,description,Description,Project attributes,17,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-sub-national-location,AfDB - sovereign,46002-sovereign,3.499999988,sub-national-location,Sub-national location,Project attributes,23,0.035,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-annual-report,AfDB - sovereign,46002-sovereign,1.874999994,annual-report,Annual report,Organisational planning and commitments,4,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-allocation-policy,AfDB - sovereign,46002-sovereign,1.874999994,allocation-policy,Allocation policy,Organisational planning and commitments,5,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-networked-data-implementors,AfDB - sovereign,46002-sovereign,4.999999983,networked-data-implementors,Networked Data - Implementors,Joining-up development data,30,0.05,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-contact-details,AfDB - sovereign,46002-sovereign,0.999999997,contact-details,Contact details,Project attributes,21,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-planned-dates,AfDB - sovereign,46002-sovereign,0.99878197,planned-dates,Planned dates,Project attributes,18,0.01,iati,iati,33.333333,99.87819699,99.81729598,66.54486399,monthly,1,1,66.54486399,,,,,,0,
46002-sovereign-title,AfDB - sovereign,46002-sovereign,0.999999997,title,Title,Project attributes,16,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-disbursements-and-expenditures,AfDB - sovereign,46002-sovereign,3.324731338,disbursements-and-expenditures,Disbursements and expenditures,Finance and budgets,14,0.033333335,iati,iati,33.333333,99.74193515,99.61290323,66.40860215,monthly,1,1,66.40860215,,,,,,0,
46002-sovereign-procurement-policy,AfDB - sovereign,46002-sovereign,1.874999994,procurement-policy,Procurement policy,Organisational planning and commitments,6,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-country-strategy-or-mou,AfDB - sovereign,46002-sovereign,1.712999994,country-strategy-or-mou,Strategy (country/sector) or Memorandum of Understanding,Organisational planning and commitments,7,0.01875,iati,iati,33.333333,91.35999967,87.04,58.02666667,monthly,1,1,58.02666667,,,,,,0,
46002-sovereign-actual-dates,AfDB - sovereign,46002-sovereign,0.999999997,actual-dates,Actual dates,Project attributes,19,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-audit,AfDB - sovereign,46002-sovereign,1.874999994,audit,Audit,Organisational planning and commitments,8,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46002-sovereign-project-procurement-tenders,AfDB - sovereign,46002-sovereign,0.974732747,project-procurement-tenders,Project procurement - Tenders,Joining-up development data,33,0.01,iati,iati,33.333333,97.47327469,96.20991254,64.13994169,monthly,1,1,64.13994169,,,,,,0,
46002-sovereign-disaggregated-budgets,AfDB - sovereign,46002-sovereign,3.669444548,disaggregated-budgets,Disaggregated budget,Finance and budgets,10,0.041666668,iati,iati,33.333333,88.06666633,82.1,54.73333333,monthly,1,1,54.73333333,,,,,,0,
46002-sovereign-networked-data-participating-orgs,AfDB - sovereign,46002-sovereign,0,networked-data-participating-orgs,Networked Data - Participating Orgs,Joining-up development data,31,,manual,,0,0,0,0,monthly,1,1,0,not published,0,,,0,0,
46002-sovereign-foia,AfDB - sovereign,46002-sovereign,1.249875,foia,Quality of FOI legislation,Organisational planning and commitments,1,0.01875,manual,not-applicable,66.66,66.66,0,0,monthly,1,1,0,,0,66.66,,0,66.66,
46002-sovereign-accessibility,AfDB - sovereign,46002-sovereign,1.875,accessibility,Accessibility,Organisational planning and commitments,2,0.01875,manual,not-applicable,100,100,0,0,monthly,1,1,0,,0,100,,0,100,https://bayanat.ae/ar-ae
46004-non-sovereign-organisation-strategy,AsDB - Non-Sov.,46004-non-sovereign,1.874999994,organisation-strategy,Organisation strategy,Organisational planning and commitments,3,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-annual-report,AsDB - Non-Sov.,46004-non-sovereign,1.874999994,annual-report,Annual report,Organisational planning and commitments,4,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-allocation-policy,AsDB - Non-Sov.,46004-non-sovereign,1.874999994,allocation-policy,Allocation policy,Organisational planning and commitments,5,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-procurement-policy,AsDB - Non-Sov.,46004-non-sovereign,1.874999994,procurement-policy,Procurement policy,Organisational planning and commitments,6,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-country-strategy-or-mou,AsDB - Non-Sov.,46004-non-sovereign,1.499999994,country-strategy-or-mou,Strategy (country/sector) or Memorandum of Understanding,Organisational planning and commitments,7,0.01875,iati,iati,33.333333,79.99999967,70,46.66666667,monthly,1,1,46.66666667,,,,,,0,
46004-non-sovereign-audit,AsDB - Non-Sov.,46004-non-sovereign,1.874999994,audit,Audit,Organisational planning and commitments,8,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-total-organisation-budget,AsDB - Non-Sov.,46004-non-sovereign,4.166666786,total-organisation-budget,Total organisation budget,Finance and budgets,9,0.041666668,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-project-budget,AsDB - Non-Sov.,46004-non-sovereign,3.333333489,project-budget,Project budget,Finance and budgets,11,0.033333335,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-commitments,AsDB - Non-Sov.,46004-non-sovereign,3.333333489,commitments,Commitments,Finance and budgets,13,0.033333335,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-disbursements-and-expenditures,AsDB - Non-Sov.,46004-non-sovereign,3.333333489,disbursements-and-expenditures,Disbursements and expenditures,Finance and budgets,14,0.033333335,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-budget-alignment,AsDB - Non-Sov.,46004-non-sovereign,3.333333489,budget-alignment,Budget Alignment,Finance and budgets,15,0.033333335,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-title,AsDB - Non-Sov.,46004-non-sovereign,0.999999997,title,Title,Project attributes,16,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-description,AsDB - Non-Sov.,46004-non-sovereign,2.99999999,description,Description,Project attributes,17,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-planned-dates,AsDB - Non-Sov.,46004-non-sovereign,0.999999997,planned-dates,Planned dates,Project attributes,18,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-actual-dates,AsDB - Non-Sov.,46004-non-sovereign,0.999999997,actual-dates,Actual dates,Project attributes,19,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-current-status,AsDB - Non-Sov.,46004-non-sovereign,0.999999997,current-status,Current status,Project attributes,20,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-contact-details,AsDB - Non-Sov.,46004-non-sovereign,0.999999997,contact-details,Contact details,Project attributes,21,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-sector,AsDB - Non-Sov.,46004-non-sovereign,2.499999992,sector,Sectors,Project attributes,22,0.025,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-sub-national-location,AsDB - Non-Sov.,46004-non-sovereign,3.466903062,sub-national-location,Sub-national location,Project attributes,23,0.035,iati,iati,33.333333,99.05437319,98.58156028,65.72104019,monthly,1,1,65.72104019,,,,,,0,
46004-non-sovereign-unique-id,AsDB - Non-Sov.,46004-non-sovereign,2.499999992,unique-id,Unique ID,Project attributes,25,0.025,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-flow-type,AsDB - Non-Sov.,46004-non-sovereign,2.99999999,flow-type,Flow type,Joining-up development data,26,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-aid-type,AsDB - Non-Sov.,46004-non-sovereign,2.99999999,aid-type,Aid type,Joining-up development data,27,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-finance-type,AsDB - Non-Sov.,46004-non-sovereign,2.99999999,finance-type,Finance type,Joining-up development data,28,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-tied-aid-status,AsDB - Non-Sov.,46004-non-sovereign,2.99999999,tied-aid-status,Tied aid status,Joining-up development data,29,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-networked-data-implementors,AsDB - Non-Sov.,46004-non-sovereign,4.952718659,networked-data-implementors,Networked Data - Implementors,Joining-up development data,30,0.05,iati,iati,33.333333,99.05437319,98.58156028,65.72104019,monthly,1,1,65.72104019,,,,,,0,
46004-non-sovereign-objectives,AsDB - Non-Sov.,46004-non-sovereign,4.999999983,objectives,Objectives,Performance,34,0.05,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-impact-appraisals,AsDB - Non-Sov.,46004-non-sovereign,4.787234026,impact-appraisals,Pre-project impact appraisals,Performance,35,0.05,iati,iati,33.333333,95.74468052,93.61702128,62.41134752,monthly,1,1,62.41134752,,,,,,0,https://www.tika.gov.tr/en/overseasoffices
46004-non-sovereign-reviews-and-evaluations,AsDB - Non-Sov.,46004-non-sovereign,4.999999983,reviews-and-evaluations,Reviews and evaluations,Performance,36,0.05,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-non-sovereign-results,AsDB - Non-Sov.,46004-non-sovereign,3.226950338,results,Results,Performance,37,0.05,iati,iati,33.333333,64.53900676,46.80851064,31.20567376,monthly,1,1,31.20567376,,,,,,0,
46004-non-sovereign-disaggregated-budgets,AsDB - Non-Sov.,46004-non-sovereign,0,disaggregated-budgets,Disaggregated budget,Finance and budgets,10,0.041666668,manual,website,0,0,0,0,monthly,1,1,0,,0,0,website,33.33,0,
46004-non-sovereign-project-budget-document,AsDB - Non-Sov.,46004-non-sovereign,0,project-budget-document,Project budget document,Finance and budgets,12,0.033333335,manual,document,0,0,0,0,monthly,1,1,0,sometimes,0,,document,50,0,
46004-non-sovereign-conditions,AsDB - Non-Sov.,46004-non-sovereign,0,conditions,Conditions,Project attributes,24,0.035,manual,document,0,0,0,0,monthly,1,1,0,not published,0,,document,50,0,
46004-non-sovereign-project-procurement-contracts,AsDB - Non-Sov.,46004-non-sovereign,0,project-procurement-contracts,Project procurement - Contracts,Joining-up development data,32,0.02,manual,document,0,0,0,0,monthly,1,1,0,not published,0,,document,50,0,
46004-non-sovereign-project-procurement-tenders,AsDB - Non-Sov.,46004-non-sovereign,0,project-procurement-tenders,Project procurement - Tenders,Joining-up development data,33,0.01,manual,document,0,0,0,0,monthly,1,1,0,not published,0,,document,50,0,
46004-non-sovereign-networked-data-participating-orgs,AsDB - Non-Sov.,46004-non-sovereign,0,networked-data-participating-orgs,Networked Data - Participating Orgs,Joining-up development data,31,,manual,,0,0,0,0,monthly,1,1,0,not published,0,,,0,0,
46004-non-sovereign-foia,AsDB - Non-Sov.,46004-non-sovereign,1.249875,foia,Quality of FOI legislation,Organisational planning and commitments,1,0.01875,manual,not-applicable,66.66,66.66,0,0,monthly,1,1,0,,0,66.66,,0,66.66,https://www.rti-rating.org/
46004-non-sovereign-accessibility,AsDB - Non-Sov.,46004-non-sovereign,1.249875,accessibility,Accessibility,Organisational planning and commitments,2,0.01875,manual,not-applicable,66.66,66.66,0,0,monthly,1,1,0,,0,66.66,,0,66.66,
46004-sovereign-finance-type,AsDB - sovereign,46004-sovereign,2.99999999,finance-type,Finance type,Joining-up development data,28,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-sovereign-annual-report,AsDB - sovereign,46004-sovereign,1.874999994,annual-report,Annual report,Organisational planning and commitments,4,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46004-sovereign-aid-type,AsDB - sovereign,46004-sovereign,2.99999999,aid-type,Aid type,Joining-up development data,27,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
